CustomerId,Surname,Gender,Age,Geography,IsActiveMember,HasPremiumMembership
1,Hargrave,Female,42,USA,1,1
2,Hill,Female,41,Canada,1,0
3,Onio,Female,42,USA,0,1
4,Boni,Female,39,USA,0,0
5,Mitchell,Female,43,Canada,1,1
6,Chu,Male,44,Canada,0,1
7,Bartlett,Male,50,USA,1,1
8,Obinna,Female,29,UK,0,1
9,He,Male,44,USA,1,0
10,Heisenberg,Male,27,USA,1,1
11,Bearce,Male,31,USA,0,0
12,Andrews,Male,24,Canada,0,1
13,Kay,Female,34,USA,0,1
14,Chin,Female,25,USA,0,0
15,Scott,Female,35,Canada,1,1
16,Goforth,Male,45,UK,1,0
17,Romeo,Male,58,UK,0,1
18,Henderson,Female,24,Canada,1,1
19,Muldrow,Male,45,Canada,0,0
20,Hao,Female,24,USA,1,1
21,McDonald,Male,41,USA,1,1
22,Dellucci,Female,32,Canada,0,1
23,Gerasimov,Female,38,Canada,0,1
24,Mosman,Male,46,USA,1,0
25,Yen,Female,38,USA,1,1
26,Maclean,Male,25,USA,1,0
27,Young,Male,36,UK,1,1
28,Nebechi,Male,44,USA,0,0
29,McWilliams,Female,43,UK,1,1
30,Lucciano,Male,29,USA,1,1
31,Azikiwe,Female,39,Canada,0,1
32,Odinakachukwu,Male,36,USA,1,0
33,Sanderson,Male,41,UK,0,0
34,Maggard,Female,42,Canada,1,1
35,Clements,Female,29,Canada,1,1
36,Lombardo,Female,45,USA,0,1
37,Watson,Male,31,Canada,1,0
38,Lorenzo,Male,33,Canada,1,0
39,Armstrong,Male,36,USA,1,1
40,Cameron,Male,41,UK,1,0
41,Hsiao,Male,40,Canada,0,1
42,Clarke,Female,51,USA,0,0
43,Osborne,Female,61,USA,1,1
44,Lavine,Female,49,USA,0,0
45,Bianchi,Female,61,Canada,1,1
46,Tyler,Female,32,UK,1,1
47,Martin,Female,27,UK,1,1
48,Okagbue,Female,39,UK,1,1
49,Yin,Male,38,UK,1,0
50,Buccho,Female,37,UK,0,1
51,Chidiebele,Male,44,UK,0,1
52,Trevisani,Male,36,UK,0,0
53,O'Brien,Female,33,USA,0,0
54,Parkhill,Male,41,UK,0,0
55,Yoo,Male,42,UK,0,1
56,Phillipps,Male,43,USA,1,1
57,Tsao,Male,45,USA,0,1
58,Endrizzi,Male,19,UK,0,0
59,T'ien,Female,66,Canada,0,1
60,Velazquez,Male,51,USA,1,1
61,Hunter,Male,35,UK,0,0
62,Clark,Female,27,UK,0,0
63,Jeffrey,Male,33,Canada,0,0
64,Pirozzi,Male,56,Canada,1,1
65,Jackson,Male,26,UK,1,1
66,Hammond,Female,36,UK,1,1
67,Brownless,Female,34,UK,0,1
68,Chibugo,Male,43,UK,1,1
69,Glauert,Female,35,UK,1,0
70,Pisano,Female,21,USA,0,1
71,Konovalova,Male,58,UK,0,1
72,McKee,Male,29,USA,0,1
73,Palermo,Female,37,Canada,1,0
74,Ballard,Female,25,UK,1,1
75,Wallace,Male,36,USA,1,0
76,Cavenagh,Female,21,USA,0,1
77,Hu,Male,55,USA,1,1
78,Read,Female,32,USA,1,1
79,Bushell,Male,33,Canada,1,0
80,Postle,Female,41,UK,0,1
81,Buley,Female,34,USA,0,0
82,Leonard,Female,32,USA,0,1
83,Mills,Female,36,USA,0,0
84,Onyeorulu,Female,34,USA,1,1
85,Beit,Female,46,USA,0,1
86,Ndukaku,Female,75,Canada,1,1
87,Gant,Male,22,Canada,0,1
88,Rowley,Male,30,USA,0,1
89,Sharpe,Female,46,USA,0,1
90,Osborne,Female,28,UK,1,1
91,Heap,Female,44,Canada,1,1
92,Ritchie,Male,45,USA,0,1
93,Cole,Female,36,USA,0,1
94,Capon,Male,29,USA,1,1
95,Capon,Male,42,Canada,1,0
96,Fiorentini,Male,35,Canada,1,0
